Name,X-Coordinate,Y-Coordinate,Tag,공원녹지OX,Rain Gage,Outlet,Area (ha),Area(m^2),Total Area,Width (m),Flow Length (m),Slope (%),평균 Slope,Imperv. (%)
SN05623,178046.234,550655.063,단독주택,FALSE,huff_2yr,SD05622,0.061012,610.12,,24.701,24.7,0.3,,90
SN05624,178068.078,550657.3,단독주택,FALSE,huff_2yr,SD05623,0.061821,618.21,,24.864,24.864,0.3,,90
SN05625,178093.438,550649.938,단독주택,FALSE,huff_2yr,SD05624,0.018499,184.99,,13.601,13.601,0.3,,90
SN05637,178462.219,550656.7,교육시설,FALSE,huff_2yr,SD05738,0.089788,897.88,,29.965,29.964,0.392,,70
SN05638,178492.1,550656.6,교육시설,FALSE,huff_2yr,SD05739,0.089535,895.35,,29.922,29.923,0.41,,70
SN05639,178527.813,550656.6,교육시설,FALSE,huff_2yr,SN05740,0.048847,488.47,,22.101,22.102,0.413,,70
SN05640,178552.172,550656.7,교육시설,FALSE,huff_2yr,SN05741,0.09,900,,30,30,0.413,,70
SN05641,178582.172,550656.7,교육시설,FALSE,huff_2yr,SN05742,0.09,900,,30,30,0.413,,70
SN05642,178612.172,550656.7,교육시설,FALSE,huff_2yr,SN05743,0.09,900,,30,30,0.413,,70
SN05643,178642.172,550656.7,교육시설,FALSE,huff_2yr,SN05744,0.09,900,,30,30,0.413,,70
SN05644,178672.172,550656.7,교육시설,FALSE,huff_2yr,SN05745,0.09,900,,30,30,0.413,,70
SN05645,178702.172,550656.7,교육시설,FALSE,huff_2yr,SN05746,0.09,900,,30,30,0.413,,70
SN05646,178732.172,550656.7,교육시설,FALSE,huff_2yr,S05747TFTT,0.09,900,,30,30,0.413,,70
SN05652,178914.281,550653.7,단독주택,FALSE,huff_2yr,S05753FTTT,0.06504,650.4,,25.503,25.503,0.48,,90
SN05653,178942.516,550656.063,단독주택,FALSE,huff_2yr,S05754FTTT,0.086024,860.24,,29.33,29.33,0.51,,90
SN05654,178972.172,550656.7,단독주택,FALSE,huff_2yr,S05755FTTT,0.09,900,,30,30,0.51,,90
SN05655,179002.172,550656.7,교육시설,FALSE,huff_2yr,S05756FTTT,0.09,900,,30,30,0.51,,70
SN05656,179032.172,550656.7,교육시설,FALSE,huff_2yr,S05757TTTT,0.09,900,,30,30,0.51,,70
SN05720,177962.016,550620.1,녹지,TRUE,huff_2yr,OF48,0.019588,195.88,,13.996,13.995,0.3,,0
SN05721,177979.547,550627,녹지,TRUE,huff_2yr,SN05720,0.044812,448.12,,21.169,21.169,0.3,,0
SN05722,178009.609,550619.9,단독주택,FALSE,huff_2yr,SD05721,0.041227,412.27,,20.304,20.305,0.3,,90
