Name,X-Coordinate,Y-Coordinate,Tag,Rain Gage,Outlet,Area (ha),Width (m),Flow Length (m),Slope (%),Imperv. (%),N Imperv,N Perv,Dstore Imperv (mm),Dstore Perv (mm),Zero Imperv (%),Subarea Routing,Percent Routed (%),Curb Length
S06011TTTT,177696.531,550522.25,공원,huff_2yr,SD06111,0.000165,1.283,1.286,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S06012TTTT,177716.609,550531.2,공원,huff_2yr,SD06112,0.04527,21.277,21.276,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S06013TTTT,177741.438,550537.2,공원,huff_2yr,SD06112,0.084943,29.145,29.145,0.3,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S06014TTFF,177758.6,550547.438,근린생활시설,huff_2yr,SD06113,0.002739,5.234,5.233,0.3,90,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S06015TFTT,177803.2,550536.8,근린생활시설,huff_2yr,SD06014,0.077255,27.795,27.795,0.3,90,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S06016TTTT,177820.422,550545.4,녹지,huff_2yr,SD06015,0.009207,9.596,9.595,0.3,0,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S06018TTTT,177906.438,550523.2,공동주택,huff_2yr,OF49,0.000496,2.227,2.227,0.3,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S06020TFTT,177955.219,550534.938,공동주택,huff_2yr,SD06019,0.068975,26.263,26.263,0.3,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S06021TTTT,177982.172,550536.7,공동주택,huff_2yr,SD06020,0.09,30,30,0.3,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S06022TTTT,178012.172,550536.7,공동주택,huff_2yr,S06021TTTT,0.09,30,30,0.3,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S06023TTTT,178041.781,550537.063,공동주택,huff_2yr,S06022TTTT,0.087389,29.562,29.561,0.3,65,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S06024TTFF,178060.422,550545.1,녹지,huff_2yr,S06023TTTT,0.009582,9.789,9.789,0.3,0,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S06025TFTT,178108.156,550534.563,주상복합,huff_2yr,S06026TTTT,0.051041,22.592,22.593,0.391,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S06026TTTT,178132.172,550536.7,주상복합,huff_2yr,S06027TTTT,0.09,30,30,0.391,100,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S06027TTTT,178162.172,550536.7,공원,huff_2yr,S06028TTTT,0.09,30,30,0.391,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
S06028TTTT,178192.172,550536.7,공원,huff_2yr,S06029TTTT,0.09,30,30,0.391,15,0.055,0.65,0.5,1.5,25,OUTLET,100,0
